team_id,abbreviation,team_name,league_id,league_name,division_id,division_name,logo_url
133,ATH,Athletics,103,American League,200,American League West,https://www.mlbstatic.com/team-logos/team-cap-on-dark/133.svg
134,PIT,Pittsburgh Pirates,104,National League,205,National League Central,https://www.mlbstatic.com/team-logos/team-cap-on-dark/134.svg
135,SD,San Diego Padres,104,National League,203,National League West,https://www.mlbstatic.com/team-logos/team-cap-on-dark/135.svg
136,SEA,Seattle Mariners,103,American League,200,American League West,https://www.mlbstatic.com/team-logos/team-cap-on-dark/136.svg
137,SF,San Francisco Giants,104,National League,203,National League West,https://www.mlbstatic.com/team-logos/team-cap-on-dark/137.svg
138,STL,St. Louis Cardinals,104,National League,205,National League Central,https://www.mlbstatic.com/team-logos/team-cap-on-dark/138.svg
139,TB,Tampa Bay Rays,103,American League,201,American League East,https://www.mlbstatic.com/team-logos/team-cap-on-dark/139.svg
140,TEX,Texas Rangers,103,American League,200,American League West,https://www.mlbstatic.com/team-logos/team-cap-on-dark/140.svg
141,TOR,Toronto Blue Jays,103,American League,201,American League East,https://www.mlbstatic.com/team-logos/team-cap-on-dark/141.svg
142,MIN,Minnesota Twins,103,American League,202,American League Central,https://www.mlbstatic.com/team-logos/team-cap-on-dark/142.svg
143,PHI,Philadelphia Phillies,104,National League,204,National League East,https://www.mlbstatic.com/team-logos/team-cap-on-dark/143.svg
144,ATL,Atlanta Braves,104,National League,204,National League East,https://www.mlbstatic.com/team-logos/team-cap-on-dark/144.svg
145,CWS,Chicago White Sox,103,American League,202,American League Central,https://www.mlbstatic.com/team-logos/team-cap-on-dark/145.svg
146,MIA,Miami Marlins,104,National League,204,National League East,https://www.mlbstatic.com/team-logos/team-cap-on-dark/146.svg
147,NYY,New York Yankees,103,American League,201,American League East,https://www.mlbstatic.com/team-logos/team-cap-on-dark/147.svg
158,MIL,Milwaukee Brewers,104,National League,205,National League Central,https://www.mlbstatic.com/team-logos/team-cap-on-dark/158.svg
108,LAA,Los Angeles Angels,103,American League,200,American League West,https://www.mlbstatic.com/team-logos/team-cap-on-dark/108.svg
109,AZ,Arizona Diamondbacks,104,National League,203,National League West,https://www.mlbstatic.com/team-logos/team-cap-on-dark/109.svg
110,BAL,Baltimore Orioles,103,American League,201,American League East,https://www.mlbstatic.com/team-logos/team-cap-on-dark/110.svg
111,BOS,Boston Red Sox,103,American League,201,American League East,https://www.mlbstatic.com/team-logos/team-cap-on-dark/111.svg
112,CHC,Chicago Cubs,104,National League,205,National League Central,https://www.mlbstatic.com/team-logos/team-cap-on-dark/112.svg
113,CIN,Cincinnati Reds,104,National League,205,National League Central,https://www.mlbstatic.com/team-logos/team-cap-on-dark/113.svg
114,CLE,Cleveland Guardians,103,American League,202,American League Central,https://www.mlbstatic.com/team-logos/team-cap-on-dark/114.svg
115,COL,Colorado Rockies,104,National League,203,National League West,https://www.mlbstatic.com/team-logos/team-cap-on-dark/115.svg
116,DET,Detroit Tigers,103,American League,202,American League Central,https://www.mlbstatic.com/team-logos/team-cap-on-dark/116.svg
117,HOU,Houston Astros,103,American League,200,American League West,https://www.mlbstatic.com/team-logos/team-cap-on-dark/117.svg
118,KC,Kansas City Royals,103,American League,202,American League Central,https://www.mlbstatic.com/team-logos/team-cap-on-dark/118.svg
119,LAD,Los Angeles Dodgers,104,National League,203,National League West,https://www.mlbstatic.com/team-logos/team-cap-on-dark/119.svg
120,WSH,Washington Nationals,104,National League,204,National League East,https://www.mlbstatic.com/team-logos/team-cap-on-dark/120.svg
121,NYM,New York Mets,104,National League,204,National League East,https://www.mlbstatic.com/team-logos/team-cap-on-dark/121.svg
